    PID    PPID STAT CMD
      1       0 Ss   /usr/lib/systemd/systemd --switched-root --system --deserialize=53 splash
      2       0 S    [kthreadd]
      3       2 S    [pool_workqueue_release]
      4       2 I<   [kworker/R-rcu_gp]
      5       2 I<   [kworker/R-sync_wq]
      6       2 I<   [kworker/R-kvfree_rcu_reclaim]
      7       2 I<   [kworker/R-slub_flushwq]
      8       2 I<   [kworker/R-netns]
     10       2 I<   [kworker/0:0H-kblockd]
     13       2 I<   [kworker/R-mm_percpu_wq]
     14       2 S    [ksoftirqd/0]
     15       2 R    [rcu_preempt]
     16       2 S    [rcu_exp_par_gp_kthread_worker/1]
     17       2 S    [rcu_exp_gp_kthread_worker]
     18       2 S    [migration/0]
     19       2 S    [kprobe-optimizer]
     20       2 S    [idle_inject/0]
     21       2 S    [cpuhp/0]
     22       2 S    [cpuhp/2]
     23       2 S    [idle_inject/2]
     24       2 S    [migration/2]
     25       2 S    [ksoftirqd/2]
     27       2 I<   [kworker/2:0H-kblockd]
     28       2 S    [cpuhp/4]
     29       2 S    [idle_inject/4]
     30       2 S    [migration/4]
     31       2 S    [ksoftirqd/4]
     33       2 I<   [kworker/4:0H-kblockd]
     34       2 S    [cpuhp/6]
     35       2 S    [idle_inject/6]
     36       2 S    [migration/6]
     37       2 S    [ksoftirqd/6]
     39       2 I<   [kworker/6:0H-kblockd]
     40       2 S    [cpuhp/8]
     41       2 S    [idle_inject/8]
     42       2 S    [migration/8]
     43       2 S    [ksoftirqd/8]
     45       2 I<   [kworker/8:0H-kblockd]
     46       2 S    [cpuhp/10]
     47       2 S    [idle_inject/10]
     48       2 S    [migration/10]
     49       2 S    [ksoftirqd/10]
     51       2 I<   [kworker/10:0H-kblockd]
     52       2 S    [cpuhp/12]
     53       2 S    [idle_inject/12]
     54       2 S    [migration/12]
     55       2 S    [ksoftirqd/12]
     57       2 I<   [kworker/12:0H-kblockd]
     58       2 S    [rcu_exp_par_gp_kthread_worker/2]
     59       2 S    [cpuhp/14]
     60       2 S    [idle_inject/14]
     61       2 S    [migration/14]
     62       2 S    [ksoftirqd/14]
     64       2 I<   [kworker/14:0H-kblockd]
     65       2 S    [cpuhp/16]
     66       2 S    [idle_inject/16]
     67       2 S    [migration/16]
     68       2 S    [ksoftirqd/16]
     70       2 I<   [kworker/16:0H-kblockd]
     71       2 S    [cpuhp/17]
     72       2 S    [idle_inject/17]
     73       2 S    [migration/17]
     74       2 S    [ksoftirqd/17]
     76       2 I<   [kworker/17:0H-kblockd]
     77       2 S    [cpuhp/18]
     78       2 S    [idle_inject/18]
     79       2 S    [migration/18]
     80       2 S    [ksoftirqd/18]
     82       2 I<   [kworker/18:0H-kblockd]
     83       2 S    [cpuhp/19]
     84       2 S    [idle_inject/19]
     85       2 S    [migration/19]
     86       2 S    [ksoftirqd/19]
     88       2 I<   [kworker/19:0H-kblockd]
     89       2 S    [cpuhp/20]
     90       2 S    [idle_inject/20]
     91       2 S    [migration/20]
     92       2 S    [ksoftirqd/20]
     94       2 I<   [kworker/20:0H-kblockd]
